,Title,Word_Count,Links,Hashtags,User_Mentions,Favorite,Retweet
37,@daviru3 Siguen las ratas correistas subiendo a los puestos públicos gracias presidente Guillermo Lasso x sus falsas promesas de campaña que terminaba la era correistas cuando el pueblo se le valla encima o pase como los hermanos Colombianos no  valla a llorar,42,0,0,1,2,3
38,"#Ecuador | Ecuador se ha destacado en la región por –en teoría– derrotar al socialismo del siglo XXI. En la práctica, el presidente Guillermo Lasso está incorporando a cada vez más izquierdistas en el equipo de gobierno. Por @MamelaFialloFlo https://t.co/lqbY7QImzu",40,1,1,1,29,16
39,Guillermo Lasso debe de estar sorprendido con lo que está pasando en Colombia. El peo comenzó justo cuando dijo que se iba a reunir con Duque para hablar sobre los problemas en Venezuela. Y les digo una cosa: no será sorpresa un zaperoco feo en Ecuador de un momento a otro..,51,0,0,0,0,0
40,"@grabordone A ya, se me quedó grabada esa frace, muy cierta por cierto miren lo que se le avecina a Perú en estos momentos, y Ecuador después de estar sumido en la miseria con Rafael correa ahora puede ver un rato de Luz con Guillermo Lasso",46,0,0,1,1,0
41,@dra_chikita El presidente Guillermo LASSO. Debe reabrir el Instituto  Nacional de Higiene Leopoldo Izquieta Pérez. Que buena falta hace.,19,0,0,1,0,0
42,"#LassoEsMorenoRecargado

El banquero bachiller delincuente Guillermo Lasso sigue con las políticas de hambre y miseria de su marioneta Lenin Moreno. 
Lasso solo quería la presidencia para cumplir su capricho... el pueblo le importa un pepino. https://t.co/6qUee0ltzM",36,0,1,0,55,41
43,"No solo es en Colombia así mismo son en Ecuador censuran, pero los periodistas Teleamazonas quieren que los Enjaulen a los Mounstros niños, porque no saben de derechos humanos son tan corruptos pautados por el Sr Presidente Bachiller Guillermo Lasso
#LassoEsMorenoRecargado https://t.co/8v1SAKx75N",42,1,1,0,1,0
44,"El presidente #Ecuador Guillermo Lasso condecoró en la orden nacional al mérito en el grado de comendador al Dr. Fernando Noboa Bejarano (médico), por su trayectoria; fue decano de la Facultad de Medicina de la UCSG.
En la cita presentes famimiares como @RicardoNoboaB https://t.co/EvzEeKoFrH",44,0,1,1,9,6
45,#Noticia Guillermo Lasso dio la orden para solucionar el inconveniente que todos los ecuatorianos han estado reclamado sobre los altos costos de luz en sus planillas de energía eléctrica. https://t.co/drPE91ENdm,30,0,1,0,0,0
46,@XimenaGarzon11 @LassoGuillermo Los hechos hablan mas .que las metiras que cada rato anuncia el Gobierno..no pega una..primero le pide de boca que los bancos bajen los interes. Pregunta porque el presidente Guillermo Lasso. Siendo el dueño del banco de Guayaquil no baja los interes. Que creen estan tratando,48,0,0,2,0,0
47,"@Elmanabo El titular debe ser ""Guillermo Lasso se blinda ante posibles protestas sociales"" existen presupuestos elevados para las ffaa que solo se justifican por el apoyo de poder al gobierno de turno.",32,0,0,1,1,0
48,@CarlosP58185334 Si es verdad yo no tenía esperanza pero con este gobierno yo también ya estoy vacunado felicitaciones señor Presidente Guillermo Lasso,22,0,0,1,1,0
49,El presidente de Ecuador Guillermo Lasso recibe su primera vacuna contra el covid-19 https://t.co/TGDORqywZr https://t.co/x1LhZmkav1,15,1,0,0,0,0
50,"#Política | El presidente Guillermo Lasso y la presidenta de la Asamblea, Guadalupe Llori, representan a tendencias opuestas, pero se respaldan mutuamente. » https://t.co/rcpYhWJfE4",24,1,1,0,0,0
51,"@LaPosta_Ecu YO TAMPOCO SOY lenin moreno en ECUADOR🇪🇨 TRAIDOR, CORRUPTO Y GENOCIDA.
Quiero saber la verdad sobre INA PAPERS donde Moreno esconde dinero d la CORRUPCIÓN
Cuenta#100-04-1071378, INA INVESTMENT CORP, Balboa Bank Panamá. lenin moreno=guillermo lasso quienes cogobernaron&amp;encubrieron",38,0,0,1,0,0
52,"@CristinaReyesec YO TAMPOCO SOY lenin moreno en ECUADOR🇪🇨 TRAIDOR, CORRUPTO Y GENOCIDA.
Quiero saber la verdad sobre INA PAPERS donde Moreno esconde dinero d la CORRUPCIÓN
Cuenta#100-04-1071378, INA INVESTMENT CORP, Balboa Bank Panamá. lenin moreno=guillermo lasso quienes cogobernaron&amp;encubrieron",38,0,0,1,0,0
53,"#12Jun 🇪🇨 El presidente de Ecuador, Guillermo Lasso, anunció su participación en la Conferencia Internacional de donantes en solidaridad con los migrantes venezolanos, la cual será celebrada el 17 de junio y contará con la intervención de 60 países.

#SomosFronteraViva https://t.co/jmQKcPmYhS",41,0,2,0,1,1
54,"@alcaldiagye YO TAMPOCO SOY lenin moreno en ECUADOR🇪🇨 TRAIDOR, CORRUPTO Y GENOCIDA.
Quiero saber la verdad sobre INA PAPERS donde Moreno esconde dinero d la CORRUPCIÓN
Cuenta#100-04-1071378, INA INVESTMENT CORP, Balboa Bank Panamá. lenin moreno=guillermo lasso quienes cogobernaron&amp;encubrieron",38,0,0,1,0,0
55,"@alcaldiagye YO TAMPOCO SOY lenin moreno en ECUADOR🇪🇨 TRAIDOR, CORRUPTO Y GENOCIDA.
Quiero saber la verdad sobre INA PAPERS donde Moreno esconde dinero d la CORRUPCIÓN
Cuenta#100-04-1071378, INA INVESTMENT CORP, Balboa Bank Panamá. lenin moreno=guillermo lasso quienes cogobernaron&amp;encubrieron",38,0,0,1,0,0
56,"@revistavistazo ¡Cuanta diferencia con mameluco y sus secuaces!
Yo si me siento representado por Guillermo Lasso. 
👏👏👏",17,0,0,1,0,0
